Sample,Latitude,Longitude,Sample mean depth [cm],Sample thickness [cm],Volumetric total ice content (laboratorymeasured) [%],Volumetric organic content (laboratorymeasured) [%],Volumetric mineral content (laboratorymeasured) [%],"Volumetric gas content (CT, direct) [%]","Volumetric excess ice content (CT, direct) [%]","Volumetric phase A content (CT, direct) [%]","Volumetric phase B content (CT, direct) [%]"
id,lat,lon,depth,thickness,totalice_lab,organic_lab,mineral_lab,gas_CT,excessice_CT,phaseA_CT,phaseB_CT
KUR17-C001_2,72.36613,126.27272,20.8,0.99,74.52,4.01,22.62,0.86,52.09,22.25,24.8
KUR17-C001_3,72.36613,126.27272,21.7,0.78,67.43,3.49,21.86,0.33,53.09,19.76,26.83
KUR17-C001_4,72.36613,126.27272,23.1,1.1,68.12,3.51,13.36,0.31,63.2,18.45,18.04
KUR17-C001_5,72.36613,126.27272,24,0.95,93.75,1.21,7.52,2.35,73.08,13.36,11.21
KUR17-C001_6,72.36613,126.27272,25.1,0.98,73.13,3.84,16.24,0.24,57.06,21.44,21.25
KUR17-C001_7,72.36613,126.27272,26.2,0.97,80.15,3.15,9.75,0.46,69.24,18.72,11.59
KUR17-C001_8,72.36613,126.27272,27.3,0.9,67.5,5.39,22.64,0.11,41.92,32.57,25.4
KUR17-C001_9,72.36613,126.27272,28.3,0.65,66.78,4.61,21.01,0.1,37.86,32.74,29.29
KUR17-C001_10,72.36613,126.27272,29.2,0.92,81.26,2.9,11.77,0.32,60.59,18.67,20.43
KUR17-C001_11,72.36613,126.27272,30.3,0.85,84.35,2.63,9.29,0.7,77.76,14.99,6.55
KUR17-C001_12,72.36613,126.27272,31.2,0.87,69.4,4.71,20.56,0.62,51.54,26.21,21.63
KUR17-C001_13,72.36613,126.27272,32.3,0.77,67.76,5.74,27.93,0.57,38.91,26.55,33.97
KUR17-C001_14,72.36613,126.27272,33.7,1.65,65.57,5.15,29.74,0.74,33.33,25.71,40.22
KUR17-C001_15,72.36613,126.27272,35.7,1.9,62.14,6.54,30.17,1.37,33.74,17.35,47.54
KUR17-C001_16,72.36613,126.27272,37.6,1.95,59.19,6.24,33.57,1.59,28.76,11.82,57.83
KUR17-C001_17,72.36613,126.27272,39.6,1.95,67.98,2.95,22.21,1.67,48.83,9.04,40.45
KUR17-C001_18,72.36613,126.27272,41.3,1.5,65.4,4.35,21.1,2.18,42.67,20.39,34.75
KUR17-C001_19,72.36613,126.27272,43.7,2.08,70.83,4.39,20.36,1.71,49.67,19.6,29.02
KUR17-C001_20,72.36613,126.27272,45.9,1.78,67.75,4.07,23.88,2.69,38.27,17.64,41.4
KUR17-C001_21,72.36613,126.27272,48,2.2,80.06,1.74,10.05,2.12,69.06,11.61,17.22
KUR17-C001_22,72.36613,126.27272,50.4,2.1,70.06,3.5,17.71,4.07,58.76,15.53,21.64
KUR17-C001_23,72.36613,126.27272,52.5,1.96,68.22,4.28,19.69,2.39,42.09,24.59,30.93
KUR17-C001_24,72.36613,126.27272,54.7,2.11,71.35,4.43,16.67,1.33,41.76,27.01,29.91
KUR17-C001_25,72.36613,126.27272,56.8,1.9,69.2,5.73,19.66,2.49,43.33,23.66,30.52
KUR17-C001_26,72.36613,126.27272,58.8,1.95,73.04,4.65,14.94,2.72,49.77,23.3,24.21
KUR17-C001_27,72.36613,126.27272,61,2.16,63.38,7.19,23.58,0.66,12.23,45.96,41.15
KUR17-C001_28,72.36613,126.27272,63.1,1.95,63.47,7.13,24.36,0.36,9.54,39.42,50.67
KUR17-C001_29,72.36613,126.27272,65.4,2.14,62.71,7.9,24.37,0.67,14.08,32.12,53.13
KUR17-C001_30,72.36613,126.27272,67.7,2.12,64.49,8.86,23.49,0.64,11.29,44.91,43.15
KUR17-C001_31,72.36613,126.27272,70,2.12,73.56,6.24,18.01,0.93,27.64,41.05,30.39
KUR17-C001_32,72.36613,126.27272,71.7,1.4,65.05,5.99,18.64,0.62,19.77,51.54,28.06
KUR17-C001_33,72.36613,126.27272,73.8,1.5,67.27,8.24,25.13,0.24,11.42,30.77,57.56
KUR17-C001_34,72.36613,126.27272,76.2,2.08,66.93,8.63,24.2,0.23,14.2,31.64,53.93
KUR17-C001_35,72.36613,126.27272,78.5,2.06,72.04,6.44,19.84,1.14,35.08,30.99,32.79
KUR17-C001_36,72.36613,126.27272,80.7,2.08,69.71,8.23,22.91,0.22,15.54,41.45,42.79
KUR17-C001_37,72.36613,126.27272,82.8,2.04,68.39,8.91,22.73,0.06,20.12,47.74,32.07
KUR17-C001_38,72.36613,126.27272,85.2,2.1,71.62,10.33,18.81,1.25,52.48,21.51,24.76
KUR17-C001_39,72.36613,126.27272,87.2,1.8,88.5,1.14,5.14,2.92,96.8,0.17,0.11
KUR17-C001_40,72.36613,126.27272,89.3,1.95,89.09,0.03,0.12,2.66,97.31,0.02,0.01
KUR17-C001_41,72.36613,126.27272,91.1,1.2,96.15,,,2.67,97.32,0.01,0
KUR17-C001_42,72.36613,126.27272,94.1,1.28,85.97,,,,,,
KUR17-C001_43,72.36613,126.27272,100,1.98,,,,2.67,97.26,0.07,0.01
KUR17-C001_44,72.36613,126.27272,102.1,2.05,87.85,,,2.63,97.29,0.07,0.01
KUR17-C002_45,72.36613,126.27272,107.8,2.08,92.88,,,2.39,97.58,0.02,0.01
KUR17-C002_46,72.36613,126.27272,110,2.07,,,,2.43,97.53,0.04,0.01
KUR17-C002_47,72.36613,126.27272,112.2,2.06,,,,2.43,97.53,0.04,0.01
KUR17-C002_48,72.36613,126.27272,114.3,2.07,95.95,0.14,0.36,2.45,97.49,0.05,0.02
KUR17-C002_49,72.36613,126.27272,116.6,2.09,95.19,,,2.37,97.59,0.02,0.01
KUR17-C002_50,72.36613,126.27272,118.9,2.18,94.82,,,2.27,97.7,0.03,0.01
KUR17-C002_51,72.36613,126.27272,121.8,1.6,96.17,,,2.19,97.76,0.04,0.02
KUR17-C002_52,72.36613,126.27272,123.5,1.62,96.9,,,,,,
KUR17-C002_53,72.36613,126.27272,125.3,1.55,91.23,,,,,,
KUR17-C002_54,72.36613,126.27272,137.6,2.2,,,,3.02,96.72,0.26,0
KUR17-C002_55,72.36613,126.27272,139.9,2.21,93.02,,,,,,
KUR17-C002_57,72.36613,126.27272,148.2,2.21,95.24,,,2.04,97.85,0.11,0
KUR17-C002_58,72.36613,126.27272,150.5,2.23,,,,,,,
KUR17-C002_59,72.36613,126.27272,156,1.9,,,,2.22,97.37,0.39,0.01
KUR17-C002_60,72.36613,126.27272,157.9,1.84,90.61,,,,,,
KUR17-C002_61,72.36613,126.27272,159.7,2.05,90.21,,,2.36,97.23,0.38,0.03
KUR17-C002_62,72.36613,126.27272,163.9,2.67,,,,,,,
